1473792050522055800020000000000022003513132975047041063--3055                 - 
1473792050523065800020000000000022703513122977045040068--3065                 - 
1473792050600100250020000000000023003613092978044040074823065671008           8 
1473792050601036250020000000000023003511042978043039074823030630368           8 
1473792050602028800020000000000023003604052978043039076--3028                 - 
1473792050603029800020000000000023303505062979043039074--3029                 - 
1473792050604028800015000000000023803510062981043039074--3028                 - 
1473792050605---220015000000000024503307072983042038071223040070802           2 
1473792050606---0000150000000000252033060729850420380710 3040                 0 
1473792050607---220020000000000025903303102987044039065203040270802082002     2 
1473792050608045250020000000000026603005102989045038056713030630457           6 
1473792050609---210020000000000026902904092990048040048413045382004           2 
1473792050610---210025000000000027302905072991050041045523045392005           2 
1473792050611---220025000000000026903104092990053043043304035230452182003     2 
1473792050612---220025000000000026603005082989056044037324035182003           2 
1473792050613035500025000000000026203105082988058045036664035                 6 
1473792050614065500020000000000026203012122988057045036993065                 9 
1473792050615065250020000000000025903012092987056044037924035730659           9 
1473792050616065550025000000000026603108072989057045037983065170809           9 
1473792050617080800025000000000026903005072990057045036--7080                 - 
1473792050618080500025000000000026903108072990057045037777080                 7 
1473792050619---200020000000000027303105082991055044040117080                 1 
1473792050620---0000200000000000280032070629930520430470 7080                 0 
1473792050621---0000200000000000286034100629950500420540                      0 
1473792050622---0000200000000000290036101129960480420630                      0 
1473792050623---0000200000000000293036100829970450410710                      0 
1473792050700---0000200000000000302035100929990440400710                      0 
1473792050701---0000200000000000303035040530000420390760                      0 
1473792050702---0000200000000000304035030530000400370820                      0 
1473792050703---0000150000000000311034010430020380360860                      0 
1473792050704---200015000000000030703400003001037035089338250                 2 
1473792050705---210020000000000031103400003002037035089517080482505           2 
1473792050706---400020000000000031703507053004039037086998250                 3 
1473792050707---700020000000000032103404103005044039068-04035-8250-           3 
1473792050708---240030000000000032103006153005048040050816080792508           1 
1473792050709250500030000000000032103106173005050041048999250                 8 
1473792050710250800030000000000031702906153004054043038--9250                 8 
1473792050711250800030000000000031402707173003055043034--9250                 - 
1473792050712200280025000000000031402709173003056043033-1608099200-           - 
1473792050713---270025000000000030702606143001057043030-1608099200-           5 
1473792050714200800025000000000030002406152999058043027--9200                 - 
1473792050715200800020000000000029002512152996058044028--9200                 - 
1473792050716160800025000000000028702510122995057043029--6160                 - 
1473792050717160580025000000000028702510122995057043029-6616048200-           8 
1473792050718160258025000000000028302607092994057043030-1608066160738200-     8 
1473792050719100580025000000000027902910072993056044036-8610026160-           9 
1473792050720090800020000000000028303311092994052043049--6090                 - 
1473792050721090800020000000000027603407062992051043052--6090                 - 
1473792050722085800020000000000027203408092991051043052--6085                 - 
1473792050723070800020000000000026503504052989051043055--7070                 - 
1473792050800065800020000000000026503507082989051043055--7065                 - 
1473792050801040800015001000000025803109122987052042045--3040                 - 
1473792050802025580012001000000025503907092986047043074-7M02533055-           - 
1473792050803024580015001000000024803806132984046042074-7M02437100-           - 
1473792050804020580012001000000024103906122982045042080-6M02043055-           - 
1473792050805016580012000000000023603807142980045041077-7K01633040-           - 
1473792050806018800025000000000023603706132980046042071--3018                 - 
1473792050807020800012001000000023603906122980047043074--3020                 - 
1473792050808020800002702000010024004207102981045043089--3020                 - 
1473792050809019280005001000010023104405112979046045093-1K01693019-           - 
1473792050810012280004001000010023004504112978047046093-1K00593012-           - 
1473792050811012280002702000010022604505112977047046093-1K00593012-           - 
1473792050812012800003001000010021804604102975048047093--2012                 - 
1473792050813010280005001000010021204904112973050049096-1K00592010-           - 
1473792050814012280005000000010020705007072972052051093-1K00592012-           - 
1473792050815012280005000000010019905207092969054052093-1K00592012-           - 
1473792050816013800004001000010019205407102967056054093--K013                 - 
1473792050817010800004001000010018505506132965056055097--3010                 - 
1473792050818007580003004000010017805507132963056055097-7K00733016-           - 
1473792050819024580006004000000017405505132962057055093-8302423036-           - 
1473792050820024800007004000000015705509122957056055097--3024                 - 
1473792050821006800008000000000016705606102960057056097--2006                 - 
1473792050822006800008000000000016005607142958057056097--2006                 - 
1473792050823005800006000000010016105507132958056055097--2005                 - 
1473792050900008800008000000000016405513072959056055097--K008                 - 
1473792050901005800002701000010015405510122956055055100--K005                 - 
1473792050902004800002700000010014605507092954055055100--2004                 - 
1473792050903003800002700000010014805500002955055055100--2003                 - 
1473792050904003 80001000400010014905512072955055055100-5100052003-           - 
1473792050905003 80001000400010015305514062956055055100-4100062003-           - 
1473792050906006580002700000010014905511062955055055100-8200623013-           - 
1473792050907013800005000000010015605514062957055055100--3013                 - 
1473792050908007800005000000010015605412062957056054093--3007                 - 
1473792050909007580005000000010015905412082958057055090-6400743013-           - 
1473792050910040250010000000000016305418132959060056081624015430406           6 
1473792050911022550015000000000016305117122959061055070964022330409           9 
1473792050912033500015000000000015505118112957064056063664033                 6 
1473792050913038500015000000000015205016152956065056059663038                 6 
1473792050914040500015000000000014905014182955065056059663040                 6 
1473792050915040550015000000000014504819132954063054058863040270808           8 
1473792050916040580015000000000014504919122954062055063-7304037080-           - 
1473792050917065280012000000000014904918132955061054065-5304053065-           - 
1473792050918039580012000000000015304919092956060054067-8303923065-           - 
1473792050919080250010000000000015604910072957059053070953055470809           8 
1473792050920080250010000000000016004818052958057052072943055570809           8 
1473792050921085500008000000000016604800002960057052072997085                 8 
1473792050922090500007000000000016604804042960056051075777090                 6 
1473792050923120250006000000010016604801042960053050083937095671209           7 
1473792051000090800005000000010016305027032959052051093--7090                 - 
1473792051001090800005000000010015904900002958052050090--7090                 - 
1473792051002090800005000000010015605031042957051050096--7090                 - 
1473792051003080280004004000010015305000002956051050096-3304577080-           - 
1473792051004050580004000000010015605028032957051050096-7305037090-           - 
1473792051005050580004000000010016005000002958051050096-8305027090-           - 
1473792051006050800004000000010016705026042960052051093--3050                 - 
1473792051007037800004004000010017305123042962053051093--3037                 - 
1473792051008040580005004000010017305122032962056053083-7304038250-           8 
1473792051009060800006000000010017705032062963057053078--3060                 - 
1473792051010060280006000000010018705133032966057053081-3402873060-           - 
1473792051011060800006001000010018705236032966058054081--3060                 - 
1473792051012060800006001000010018705304032966059055081--3060                 - 
1473792051013065800006000000010018005427032964060056081--3065                 - 
1473792051014080800008000000000018005300002964061056075--7080                 - 
1473792051015---200012000000000018005106042964066057059557080                 5 
1473792051016090500012000000000017605000002963066057057777090                 6 
1473792051017---200012000000000018004910042964068057051117100                 1 
1473792051018---200012000000000018005116042964067058057117100                 1 
1473792051019---220012000000000018704923032966065056056213060171002           2 
1473792051020---200010000000000019005126062967062056067447100                 4 
1473792051021100800010000000000019705226032969061056072--7100                 - 
1473792051022---200008000000000020005121042970060055072447100                 4 
1473792051023---200007000000000020105123072970056053083117095                 1 
1473792051100---200006000000010020405220052971056053087117095                 1 
1473792051101---200005000000010020805100002972054052090227090                 2 
1473792051102---0000040000000100208051030429720530510930                      0 
1473792051103---0000040000000100214052080529740540520930                      0 
1473792051104---0000040000000100221051050329760520510960                      0 
1473792051105---200004000000010022805111042978053051093117100                 1 
1473792051106---0000040000000100238051040529810530510930 3095                 0 
